TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现
短期用户,3226,581,0.1800991940483571,2.7151270923744577,164.1070055796652
中期用户,1467,95,0.06475800954328562,3.704839809134288,204.91599182004092
长期用户,429,0,0.0,3.5454545454545454,222.3400233100233
